Bias  correction  method:  BCCAQv2
Model  name:  Ensemble
RCP:  85
Variable:  tasmax
Season:  annual
1950-01-01  to  2095-12-31
city_451:  Average  number  of  days  ge  30.0  Mean  Ensemble
Year,MIROC-ESM-CHEM ,NorESM1-ME ,HadGEM2-ES ,FGOALS-g2 ,GFDL-ESM2M ,IPSL-CM5A-MR ,MRI-CGCM3 ,HadGEM2-AO ,CSIRO-Mk3-6-0 ,MPI-ESM-LR ,NorESM1-M ,BNU-ESM ,GFDL-ESM2G ,MIROC5 ,GFDL-CM3 ,MIROC-ESM ,bcc-csm1-1 ,CNRM-CM5 ,CCSM4 ,CanESM2 ,CESM1-CAM5 ,bcc-csm1-1-m ,IPSL-CM5A-LR ,MPI-ESM-MR ,Ensemble
2019,23.0 ,26.0 ,41.0 ,36.0 ,26.0 ,22.0 ,19.0 ,20.0 ,19.0 ,19.0 ,16.0 ,35.0 ,29.0 ,23.0 ,64.0 ,31.0 ,59.0 ,4.0 ,35.0 ,14.0 ,12.0 ,37.0 ,39.0 ,25.0 ,28.1
2020,36.0 ,14.0 ,21.0 ,31.0 ,12.0 ,39.0 ,23.0 ,42.0 ,62.0 ,48.0 ,21.0 ,14.0 ,21.0 ,22.0 ,35.0 ,14.0 ,22.0 ,47.0 ,41.0 ,31.0 ,30.0 ,41.0 ,3.0 ,28.0 ,29.1
2021,29.0 ,31.0 ,51.0 ,39.0 ,4.0 ,22.0 ,19.0 ,45.0 ,14.0 ,22.0 ,32.0 ,43.0 ,32.0 ,19.0 ,19.0 ,18.0 ,29.0 ,17.0 ,40.0 ,38.0 ,29.0 ,44.0 ,21.0 ,17.0 ,28.1
2022,17.0 ,25.0 ,20.0 ,33.0 ,35.0 ,22.0 ,17.0 ,61.0 ,37.0 ,10.0 ,33.0 ,60.0 ,8.0 ,14.0 ,50.0 ,14.0 ,20.0 ,35.0 ,24.0 ,43.0 ,36.0 ,33.0 ,12.0 ,7.0 ,27.8
2023,29.0 ,35.0 ,39.0 ,27.0 ,46.0 ,48.0 ,30.0 ,34.0 ,60.0 ,35.0 ,38.0 ,34.0 ,19.0 ,29.0 ,30.0 ,39.0 ,56.0 ,28.0 ,14.0 ,34.0 ,34.0 ,36.0 ,19.0 ,16.0 ,33.7
2024,34.0 ,50.0 ,38.0 ,35.0 ,23.0 ,30.0 ,25.0 ,27.0 ,30.0 ,24.0 ,48.0 ,30.0 ,31.0 ,32.0 ,16.0 ,33.0 ,42.0 ,38.0 ,64.0 ,38.0 ,41.0 ,27.0 ,10.0 ,21.0 ,32.8
2025,22.0 ,37.0 ,31.0 ,22.0 ,8.0 ,16.0 ,20.0 ,36.0 ,41.0 ,22.0 ,24.0 ,34.0 ,31.0 ,17.0 ,38.0 ,26.0 ,34.0 ,17.0 ,27.0 ,43.0 ,13.0 ,25.0 ,27.0 ,25.0 ,26.5
2026,41.0 ,38.0 ,19.0 ,32.0 ,20.0 ,13.0 ,35.0 ,19.0 ,48.0 ,24.0 ,46.0 ,21.0 ,37.0 ,27.0 ,55.0 ,20.0 ,17.0 ,14.0 ,29.0 ,39.0 ,21.0 ,32.0 ,31.0 ,22.0 ,29.2
2027,30.0 ,21.0 ,42.0 ,36.0 ,36.0 ,10.0 ,28.0 ,16.0 ,10.0 ,30.0 ,63.0 ,34.0 ,24.0 ,33.0 ,49.0 ,39.0 ,32.0 ,18.0 ,36.0 ,30.0 ,41.0 ,39.0 ,19.0 ,9.0 ,30.2
2028,40.0 ,27.0 ,64.0 ,35.0 ,34.0 ,39.0 ,13.0 ,57.0 ,29.0 ,38.0 ,38.0 ,41.0 ,23.0 ,32.0 ,40.0 ,32.0 ,23.0 ,15.0 ,26.0 ,27.0 ,51.0 ,52.0 ,35.0 ,34.0 ,35.2
